,Region_ID,IPM_Region,Region_Agg_ID
1,0,ERC_PHDL,3
2,1,ERC_REST,3
3,2,ERC_WEST,3
4,3,FRCC,1
5,4,MIS_AMSO,1
6,5,MIS_AR,1
7,6,MIS_D_MS,1
8,7,MIS_IA,1
9,8,MIS_IL,1
10,9,MIS_INKY,1
11,10,MIS_LA,1
12,11,MIS_LMI,1
13,12,MIS_MAPP,1
14,13,MIS_MIDA,1
15,14,MIS_MNWI,1
16,15,MIS_MO,1
17,16,MIS_WOTA,1
18,17,MIS_WUMS,1
19,18,NENG_CT,1
20,19,NENG_ME,1
21,20,NENGREST,1
22,21,NY_Z_A,1
23,22,NY_Z_B,1
24,23,NY_Z_C&E,1
25,24,NY_Z_D,1
26,25,NY_Z_F,1
27,26,NY_Z_G-I,1
28,27,NY_Z_J,1
29,28,NY_Z_K,1
30,29,PJM_AP,1
31,30,PJM_ATSI,1
32,31,PJM_COMD,1
33,32,PJM_Dom,1
34,33,PJM_EMAC,1
35,34,PJM_PENE,1
36,35,PJM_SMAC,1
37,36,PJM_West,1
38,37,PJM_WMAC,1
39,38,S_C_KY,1
40,39,S_C_TVA,1
41,40,S_D_AECI,1
42,41,S_SOU,1
43,42,S_VACA,1
44,43,SPP_N,1
45,44,SPP_NEBR,1
46,45,SPP_SPS,1
47,46,SPP_WAUE,1
48,47,SPP_WEST,1
49,48,WEC_BANC,2
50,49,WEC_CALN,2
51,50,WEC_LADW,2
52,51,WEC_SDGE,2
53,52,WECC_AZ,2
54,53,WECC_CO,2
55,54,WECC_ID,2
56,55,WECC_IID,2
57,56,WECC_MT,2
58,57,WECC_NM,2
59,58,WECC_NNV,2
60,59,WECC_PNW,2
61,60,WECC_SCE,2
62,61,WECC_SNV,2
63,62,WECC_UT,2
64,63,WECC_WY,2
